country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Dungarpur,"Bhoiwada, Dungarpur - RSPCB","08-04-2025 20:00:00",23.837789,73.714926,PM10,57,125,83
India,Rajasthan,Dungarpur,"Bhoiwada, Dungarpur - RSPCB","08-04-2025 20:00:00",23.837789,73.714926,NH3,6,8,7
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB","08-04-2025 20:00:00",29.610750,74.283608,PM2.5,43,308,120
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB","08-04-2025 20:00:00",29.610750,74.283608,NH3,14,19,16
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB","08-04-2025 20:00:00",29.610750,74.283608,SO2,8,30,18
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB","08-04-2025 20:00:00",26.902909,75.836858,NH3,3,21,6
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB","08-04-2025 20:00:00",26.902909,75.836858,OZONE,11,71,47
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB","08-04-2025 20:00:00",26.843698,75.766894,PM10,65,174,105
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","08-04-2025 20:00:00",25.164090,75.858137,PM10,78,225,147
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","08-04-2025 20:00:00",25.164090,75.858137,NO2,45,217,90
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","08-04-2025 20:00:00",25.164090,75.858137,OZONE,1,79,60
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB","08-04-2025 20:00:00",25.196024,75.855668,PM10,86,347,162
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB","08-04-2025 20:00:00",25.196024,75.855668,NO2,18,96,54
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB","08-04-2025 20:00:00",25.14389,75.821256,PM10,58,173,113
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB","08-04-2025 20:00:00",25.14389,75.821256,SO2,6,37,13
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB","08-04-2025 20:00:00",25.14389,75.821256,CO,26,120,42
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB","08-04-2025 20:00:00",27.213494,73.734444,PM2.5,27,192,54
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB","08-04-2025 20:00:00",27.213494,73.734444,PM10,110,287,163
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB","08-04-2025 20:00:00",26.9164092,75.7994901,PM10,78,185,131
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB","08-04-2025 20:00:00",26.786682,75.827928,PM2.5,28,305,95
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB","08-04-2025 20:00:00",26.786682,75.827928,NO2,18,190,58
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB","08-04-2025 20:00:00",26.786682,75.827928,NH3,2,4,3
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","08-04-2025 20:00:00",26.960669,75.771817,NO2,12,161,58
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","08-04-2025 20:00:00",26.960669,75.771817,NH3,3,14,5
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","08-04-2025 20:00:00",26.960669,75.771817,CO,6,126,21
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB","08-04-2025 20:00:00",26.9502929,75.730943,OZONE,12,66,44
